SpatialDimValueCode,HealthAvailVal_nurse,HealthAvailVal_psych,Period,FactValueNumeric_alcohol,suicide_rate,HDI,Health_Expenditure,HomicideRate,cluster
AFG,0.0006522419151952,0.0046634605375471,2019,0.0007454128440366,0.078607227644421,0.3309557774607703,0.736842105263158,0.0860630722278738,-1
AFG,0.0006522419151952,0.0046634605375471,2018,0.0007454128440366,0.0779477710366658,0.3223965763195434,0.6842105263157894,0.0866734486266531,0
AFG,0.0006522419151952,0.0046634605375471,2017,0.0008027522935779,0.0784753363228699,0.3209700427960057,0.631578947368421,0.0849440488301119,0
AFG,0.0006522419151952,0.0046634605375471,2016,0.0006307339449541,0.0792666842521762,0.31811697574893,0.5789473684210527,0.0917599186164801,0
AFG,0.0006522419151952,0.0046634605375471,2015,0.0004013761467889,0.0790029016090741,0.3124108416547788,0.4736842105263157,0.0924720244150559,0
AFG,0.0006522419151952,0.0046634605375471,2014,0.0001720183486238,0.0793985755737272,0.3138373751783166,0.4736842105263157,0.0869786368260427,0
AFG,0.0006522419151952,0.0046634605375471,2013,0.0001720183486238,0.0813769453969928,0.3067047075606276,0.4210526315789473,0.0876907426246185,0
AFG,0.0006522419151952,0.0046634605375471,2012,0.0001720183486238,0.0823001846478501,0.2952924393723253,0.3684210526315789,0.0881993896236012,0
AFG,0.0006522419151952,0.0046634605375471,2011,0.0003440366972477,0.0846742284357689,0.2810271041369472,0.4210526315789473,0.0900305188199389,0
AFG,0.0006522419151952,0.0046634605375471,2010,0.0005733944954128,0.0879715114745449,0.2696148359486447,0.4210526315789473,0.0919633774160732,0
AFG,0.0006522419151952,0.0046634605375471,2009,0.0010321100917431,0.0902136639409127,0.2582025677603423,0.4736842105263157,0.0911495422177009,0
AFG,0.0006522419151952,0.0046634605375471,2008,0.0011467889908256,0.094566077552097,0.2439372325249643,0.4736842105263157,0.0922685656154628,0
AFG,0.0006522419151952,0.0046634605375471,2007,0.0013761467889908,0.0978633605908731,0.2368045649072753,0.4736842105263157,0.0929806714140386,0
AFG,0.0006522419151952,0.0046634605375471,2006,0.0011467889908256,0.0997098390925877,0.2139800285306704,0.5263157894736843,0.0962360122075279,0
AFG,0.0006522419151952,0.0046634605375471,2005,0.0012041284403669,0.100764969664996,0.2025677603423681,0.4736842105263157,0.0978636826042726,0
AFG,0.0006522419151952,0.0046634605375471,2004,0.0009174311926605,0.1024795568451596,0.1925820256776034,0.4736842105263157,0.0990844354018311,0
AFG,0.0006522419151952,0.0046634605375471,2003,0.0007454128440366,0.1018201002374043,0.1697574893009985,0.4210526315789473,0.1057985757884028,0
AFG,0.0006522419151952,0.0046634605375471,2002,0.0003440366972477,0.1035346874175679,0.1540656205420827,0.4210526315789473,0.1035605289928789,0
AFG,0.0006522419151952,0.0046634605375471,2001,0.0001146788990825,0.1040622527037721,0.1198288159771754,0.2982456140350876,0.0980671414038657,0
AFG,0.0006522419151952,0.0046634605375471,2000,0.0001146788990825,0.1016882089158533,0.1141226818830242,0.175438596491228,0.0994913530010172,0
AGO,0.0043926496329475,0.0010409510128453,2019,0.3027522935779816,0.1655236085465576,0.4807417974322396,0.0526315789473684,0.0935910478128179,0
AGO,0.0043926496329475,0.0010409510128453,2018,0.3027522935779816,0.1628857821155368,0.4821683309557774,0.1052631578947368,0.0954221770091556,0
AGO,0.0043926496329475,0.0010409510128453,2017,0.3302752293577981,0.1630176734370878,0.4807417974322396,0.1052631578947368,0.0971515768056968,0
AGO,0.0043926496329475,0.0010409510128453,2016,0.3497706422018348,0.169744130836191,0.477888730385164,0.1052631578947368,0.0998982706002034,0
AGO,0.0043926496329475,0.0010409510128453,2015,0.393348623853211,0.1750197836982326,0.4721825962910128,0.1052631578947368,0.1022380467955239,0
AGO,0.0043926496329475,0.0010409510128453,2014,0.4260321100917431,0.1733051965180691,0.4350927246790299,0.0526315789473684,0.1032553407934893,0
AGO,0.0043926496329475,0.0010409510128453,2013,0.4506880733944954,0.1867581113162754,0.4208273894436519,0.1052631578947368,0.1042726347914547,0
AGO,0.0043926496329475,0.0010409510128453,2012,0.4426605504587155,0.1867581113162754,0.4065620542082739,0.0526315789473684,0.1054933875890132,0
AGO,0.0043926496329475,0.0010409510128453,2011,0.4403669724770642,0.1779213927723556,0.3894436519258203,0.1052631578947368,0.1078331637843336,0
AGO,0.0043926496329475,0.0010409510128453,2010,0.4243119266055046,0.1874175679240306,0.3651925820256776,0.1052631578947368,0.109969481180061,0
AGO,0.0043926496329475,0.0010409510128453,2009,0.4116972477064219,0.1800316539171722,0.3509272467902996,0.1578947368421052,0.1127161749745676,0
AGO,0.0043926496329475,0.0010409510128453,2008,0.3927752293577981,0.201398048008441,0.3309557774607703,0.1052631578947368,0.114852492370295,0
AGO,0.0043926496329475,0.0010409510128453,2007,0.3818807339449541,0.198100764969665,0.3138373751783166,0.1052631578947368,0.1174974567650051,0
AGO,0.0043926496329475,0.0010409510128453,2006,0.3618119266055045,0.2250065945660775,0.2895863052781741,0.1052631578947368,0.1205493387589013,0
AGO,0.0043926496329475,0.0010409510128453,2005,0.3279816513761467,0.2144552888419942,0.2724679029957204,0.1052631578947368,0.1227873855544252,0
AGO,0.0043926496329475,0.0010409510128453,2004,0.2935779816513761,0.2267211817462411,0.2524964336661911,0.1578947368421052,0.1250254323499491,0
AGO,0.0043926496329475,0.0010409510128453,2003,0.2649082568807339,0.2304141387496703,0.2339514978601996,0.1578947368421052,0.1286876907426246,0
