SpatialDimValueCode,Period,FactValueNumeric
AUS,2018,9.5
BHS,2018,9.46
GBR,2018,9.84
MNE,2018,9.87
LBR,2018,2.84
SRB,2018,7.62
ITA,2018,7.59
GNQ,2018,6.19
UGA,2018,6.57
BRA,2018,6.32
DMA,2018,6.34
PAN,2018,6.28
MDA,2018,6.34
SUR,2018,6.26
CHL,2018,6.39
JPN,2018,6.44
GAB,2018,6.6
GRC,2018,6.62
THA,2018,6.68
GEO,2018,7.64
MUS,2018,6.98
SWZ,2018,7.13
RUS,2018,7.11
SWE,2018,7.12
BFA,2018,7.22
MNG,2018,7.19
BWA,2018,7.43
LAO,2018,7.4
ZAF,2018,7.35
ZWE,2018,2.78
TUR,2018,1.27
HND,2018,2.78
RWA,2018,1.35
TON,2018,0.3
KIR,2018,0.39
TCD,2018,0.53
MAR,2018,0.47
OMN,2018,0.47
DZA,2018,0.57
BRN,2018,0.66
MDG,2018,0.71
MYS,2018,0.67
NPL,2018,0.8
AZE,2018,0.88
ERI,2018,0.88
GMB,2018,0.86
TJK,2018,0.86
TUV,2018,0.93
QAT,2018,0.98
TGO,2018,1.02
COD,2018,1.08
LBN,2018,1.17
PNG,2018,1.2
SLB,2018,1.15
TLS,2018,0.32
SEN,2018,0.31
JOR,2018,0.29
BTN,2018,0.066
VEN,2018,2.71
BGD,2018,0.004
KWT,2018,0.0
LBY,2018,0.008
MRT,2018,0.0
SAU,2018,0.0
SOM,2018,0.0
SDN,2018,0.003
YEM,2018,0.018
EGY,2018,0.15
GIN,2018,0.33
IDN,2018,0.08
IRN,2018,0.11
NER,2018,0.09
PAK,2018,0.059
SYR,2018,0.14
COM,2018,0.18
IRQ,2018,0.16
SLE,2018,0.19
DJI,2018,0.27
MDV,2018,1.31
AFG,2018,0.013
AUT,2018,11.7
EST,2018,11.85
HUN,2018,11.0
LTU,2018,10.97
AND,2018,11.06
DEU,2018,11.11
IRL,2018,11.07
ATG,2018,11.24
LUX,2018,11.28
BGR,2018,11.39
FRA,2018,11.46
COK,2018,12.6
ROU,2018,10.65
CZE,2018,12.91
LVA,2018,12.9
SYC,2018,13.27
ARE,2018,2.1
KEN,2018,2.3
NRU,2018,2.44
ISR,2018,2.56
LKA,2018,2.56
UZB,2018,2.55
ESP,2018,10.67
CAF,2018,1.44
POL,2018,10.72
CIV,2018,1.93
SVN,2018,10.39
BHR,2018,1.45
MOZ,2018,1.48
GTM,2018,1.62
FSM,2018,1.58
TUN,2018,1.59
ETH,2018,1.85
MWI,2018,1.75
SGP,2018,1.82
VUT,2018,1.66
GHA,2018,1.88
BLR,2018,10.14
LCA,2018,10.23
PRT,2018,10.24
HRV,2018,10.14
SVK,2018,10.33
BRB,2018,10.03
WSM,2018,1.91
MMR,2018,1.93
TZA,2017,5.33
MEX,2017,4.59
CUB,2017,4.68
BEN,2017,4.94
KGZ,2017,4.87
PHL,2017,4.88
GUY,2017,5.22
NAM,2017,5.2
PRY,2017,5.21
URY,2017,5.24
BIH,2017,5.27
NOR,2017,6.02
CPV,2017,5.44
CHN,2017,5.54
DOM,2017,5.53
UKR,2017,5.52
TTO,2017,5.63
COG,2017,5.7
PER,2017,5.73
AGO,2017,5.76
SUR,2017,5.91
ALB,2017,4.4
LBR,2017,2.87
NGA,2017,3.01
STP,2017,4.26
PRK,2017,3.43
BLZ,2017,6.17
TKM,2017,2.98
BOL,2017,3.05
BDI,2017,3.12
HTI,2017,3.07
LSO,2017,3.08
ZMB,2017,3.22
CRI,2017,3.28
GNB,2017,3.33
JAM,2017,3.42
COL,2017,4.27
VEN,2017,3.37
VNM,2017,3.37
MLI,2017,3.56
KAZ,2017,3.81
NIC,2017,3.8
ARM,2017,3.95
MKD,2017,3.9
CMR,2017,4.07
KHM,2017,4.22
CHL,2017,6.14
MNG,2017,7.72
PAN,2017,6.24
NZL,2017,9.07
KOR,2017,7.85
CAN,2017,8.13
GRD,2017,8.32
NLD,2017,8.31
FIN,2017,8.39
NIU,2017,8.54
KNA,2017,8.69
MLT,2017,8.94
USA,2017,8.91
CHE,2017,9.2
MDA,2017,6.25
BEL,2017,9.31
DNK,2017,9.32
BHS,2017,9.42
MNE,2017,9.56
AUS,2017,9.6
LCA,2017,9.68
GBR,2017,9.78
BLR,2017,9.86
SVK,2017,9.88
CYP,2017,7.93
ARG,2017,7.94
VCT,2017,7.68
ISL,2017,7.65
BRA,2017,6.41
GNQ,2017,6.44
DMA,2017,6.46
JPN,2017,6.48
GRC,2017,6.78
THA,2017,6.77
BWA,2017,6.86
GAB,2017,6.96
MUS,2017,6.96
UGA,2017,6.95
SWZ,2017,7.07
GEO,2017,7.08
SWE,2017,7.13
BFA,2017,7.15
LAO,2017,7.17
ZAF,2017,7.3
ITA,2017,7.43
RUS,2017,7.37
SRB,2017,7.4
ECU,2017,3.02
TUR,2017,1.28
IND,2017,2.93
NPL,2017,0.78
MAR,2017,0.42
TLS,2017,0.37
AZE,2017,0.53
OMN,2017,0.46
DZA,2017,0.57
TCD,2017,0.58
MYS,2017,0.65
BRN,2017,0.66
MDG,2017,0.71
ERI,2017,0.89
SEN,2017,0.3
RWA,2017,0.93
TJK,2017,0.88
TUV,2017,0.95
QAT,2017,1.0
COD,2017,1.13
GMB,2017,1.06
SLB,2017,1.09
TGO,2017,1.08
LBN,2017,1.2
TON,2017,0.31
JOR,2017,0.31
PNG,2017,1.25
BTN,2017,0.066
FJI,2017,2.79
BGD,2017,0.004
KWT,2017,0.0
LBY,2017,0.007
MRT,2017,0.0
SAU,2017,0.0
SOM,2017,0.0
SDN,2017,0.001
YEM,2017,0.018
IDN,2017,0.081
GIN,2017,0.33
NER,2017,0.11
PAK,2017,0.058
COM,2017,0.18
EGY,2017,0.15
IRN,2017,0.16
IRQ,2017,0.16
SLE,2017,0.18
SYR,2017,0.15
DJI,2017,0.32
MDV,2017,1.23
KIR,2017,0.4
AFG,2017,0.014
AND,2017,11.12
HUN,2017,11.15
IRL,2017,11.19
BGR,2017,11.31
LUX,2017,11.33
LTU,2017,11.48
AUT,2017,11.63
FRA,2017,11.56
LVA,2017,12.37
COK,2017,12.6
CZE,2017,12.87
EST,2017,13.17
SYC,2017,13.8
ARE,2017,2.15
KEN,2017,2.29
NRU,2017,2.44
ISR,2017,2.52
UZB,2017,2.54
LKA,2017,2.59
HND,2017,2.68
ZWE,2017,2.68
MOZ,2017,1.43
DEU,2017,11.11
SLV,2017,2.8
ATG,2017,10.87
CIV,2017,1.86
CAF,2017,1.46
VUT,2017,1.54
GTM,2017,1.61
FSM,2017,1.58
TUN,2017,1.6
ETH,2017,1.67
MWI,2017,1.68
MMR,2017,1.74
SGP,2017,1.83
BHR,2017,1.52
GHA,2017,1.89
BRB,2017,10.05
HRV,2017,10.24
PRT,2017,10.22
ROU,2017,10.22
SVN,2017,10.21
POL,2017,10.54
ESP,2017,10.68
WSM,2017,1.89
PRY,2016,5.12
CPV,2016,5.29
NAM,2016,5.2
KGZ,2016,5.19
VEN,2016,4.57
BIH,2016,5.08
BEN,2016,4.76
PHL,2016,4.73
GUY,2016,5.33
COG,2016,5.33
TTO,2016,5.74
SUR,2016,5.44
DOM,2016,5.46
URY,2016,5.56
PER,2016,5.74
UKR,2016,5.71
TZA,2016,5.83
NOR,2016,6.0
AGO,2016,6.1
MDA,2016,6.1
STP,2016,4.47
CUB,2016,4.65
PRK,2016,3.47
MEX,2016,4.43
JAM,2016,3.34
HTI,2016,2.95
BOL,2016,3.1
BDI,2016,3.15
NGA,2016,3.05
TKM,2016,3.09
ECU,2016,3.24
GNB,2016,3.23
ZMB,2016,3.15
CRI,2016,3.25
VNM,2016,3.27
ALB,2016,4.38
PAN,2016,6.29
KAZ,2016,3.53
MLI,2016,3.66
KHM,2016,3.81
NIC,2016,3.78
MKD,2016,3.78
ARM,2016,3.96
CMR,2016,4.22
COL,2016,4.26
CHN,2016,6.16
BRB,2016,9.95
