SpatialDimValueCode,Period,FactValueNumeric_alcohol,FactValueNumeric
IRQ,2019,0.16,4.74
SLE,2019,0.19,11.25
DJI,2019,0.27,11.95
GIN,2019,0.33,12.33
JOR,2019,0.29,1.98
RWA,2019,1.35,9.45
KWT,2019,0.0,2.66
CAF,2019,1.44,22.96
EST,2019,11.85,11.96
LTU,2019,10.97,20.15
DEU,2019,11.11,8.27
IRL,2019,11.07,8.9
ATG,2019,11.24,0.32
LUX,2019,11.28,8.62
BGR,2019,11.39,6.5
FRA,2019,11.46,9.65
AUT,2019,11.7,10.4
ESP,2019,10.67,5.28
CZE,2019,12.91,9.48
LVA,2019,12.9,16.06
SYC,2019,13.27,7.73
ARE,2019,2.1,5.24
KEN,2019,2.3,11.01
ISR,2019,2.56,5.15
LKA,2019,2.56,12.89
BHR,2019,1.45,7.2
HUN,2019,11.0,11.77
UZB,2019,2.55,8.28
ROU,2019,10.65,7.33
GHA,2019,1.88,10.54
POL,2019,10.72,9.3
MOZ,2019,1.48,23.19
GTM,2019,1.62,6.23
FSM,2019,1.58,28.99
TUN,2019,1.59,3.18
VUT,2019,1.66,20.96
MWI,2019,1.75,10.58
SGP,2019,1.82,9.65
CIV,2019,1.93,15.66
ETH,2019,1.85,9.45
MMR,2019,1.93,2.96
BRB,2019,10.03,0.31
SVN,2019,10.39,13.97
BLR,2019,10.14,16.49
HRV,2019,10.14,11.01
PRT,2019,10.24,7.22
LCA,2019,10.23,6.85
SVK,2019,10.33,9.31
WSM,2019,1.91,14.6
CHN,2018,4.78,6.81
PHL,2018,5.02,2.58
NAM,2018,5.04,13.74
MEX,2018,4.78,5.36
ALB,2018,4.38,3.94
CUB,2018,4.75,10.17
